                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.64937,                  0.421,                0.97575,                0.95885,                 0.9328,                0.97921,                0.84627,                0.58091,                0.34811,                 0.9343,              0.0080664,              0.0080664,              0.0080664
                     53,                0.65179,                0.42221,                0.98003,                0.95705,                0.93158,                0.97701,                0.84381,                0.58065,                0.35178,                0.92941,              0.0080277,              0.0080277,              0.0080277
                     54,                0.66344,                0.43125,                0.98337,                0.94862,                0.94319,                0.98064,                0.85156,                0.56109,                 0.3421,                0.91675,              0.0079891,              0.0079891,              0.0079891
                     55,                0.64807,                0.42597,                0.97385,                0.96581,                0.93175,                0.98227,                0.85242,                0.56204,                0.34816,                0.92174,              0.0079504,              0.0079504,              0.0079504
                     56,                0.65067,                0.42498,                0.98067,                0.96917,                0.92975,                0.97941,                0.85129,                0.56221,                0.34548,                0.91852,              0.0079117,              0.0079117,              0.0079117
                     57,                0.64937,                0.41869,                0.97537,                0.97228,                0.92303,                0.97907,                0.85026,                0.55695,                0.34842,                0.91881,               0.007873,               0.007873,               0.007873
                     58,                0.64738,                0.42422,                0.98076,                0.97839,                0.92059,                0.98241,                0.85641,                0.57315,                0.34533,                0.92866,              0.0078344,              0.0078344,              0.0078344
                     59,                0.64598,                0.41539,                0.97293,                0.96036,                0.93237,                0.97843,                0.85061,                0.56533,                0.34225,                0.92089,              0.0077957,              0.0077957,              0.0077957
                     60,                0.64254,                0.41665,                0.97488,                0.96088,                0.93158,                0.97933,                0.85737,                0.56086,                0.34618,                 0.9204,               0.007757,               0.007757,               0.007757
                     61,                0.64329,                0.41464,                  0.973,                0.94843,                0.93769,                0.97934,                0.85671,                 0.5636,                0.33727,                0.91458,              0.0077184,              0.0077184,              0.0077184
                     62,                0.63999,                0.40649,                0.96891,                0.96009,                0.93769,                0.97742,                0.85267,                0.55902,                0.34601,                0.91963,              0.0076797,              0.0076797,              0.0076797
                     63,                0.63143,                0.40929,                 0.9673,                0.95819,                0.92792,                0.97802,                0.85185,                0.56767,                0.34647,                0.91919,               0.007641,               0.007641,               0.007641
                     64,                0.63612,                0.41344,                0.96707,                0.95498,                0.92792,                 0.9751,                0.84789,                0.56688,                0.34637,                0.92415,              0.0076023,              0.0076023,              0.0076023
                     65,                0.63755,                0.41095,                0.97223,                 0.9613,                0.94078,                0.97824,                0.85298,                0.56877,                0.33947,                0.91941,              0.0075637,              0.0075637,              0.0075637
                     66,                 0.6327,                 0.4042,                0.96917,                0.95436,                0.93952,                0.97853,                0.84512,                0.57248,                0.34348,                0.93304,               0.007525,               0.007525,               0.007525
                     67,                0.63107,                0.40367,                0.96925,                0.96219,                0.93282,                0.97703,                0.85621,                0.56782,                0.34333,                0.92676,              0.0074863,              0.0074863,              0.0074863
                     68,                0.63306,                0.40432,                0.96681,                0.96289,                0.91931,                0.97688,                 0.8514,                0.56416,                0.34646,                0.91977,              0.0074477,              0.0074477,              0.0074477
                     69,                0.62927,                0.40056,                0.96988,                0.96574,                0.92731,                0.98062,                0.85207,                0.56433,                0.33454,                0.92371,               0.007409,               0.007409,               0.007409
                     70,                0.62855,                0.40867,                0.96719,                0.94648,                 0.9507,                0.98219,                0.85733,                0.55934,                0.33288,                0.91622,              0.0073703,              0.0073703,              0.0073703
                     71,                0.62939,                0.40269,                0.96318,                0.95198,                0.94461,                0.98241,                0.86008,                0.54512,                0.32506,                0.90962,              0.0073316,              0.0073316,              0.0073316
                     72,                0.62549,                0.39848,                0.96941,                0.96327,                0.93647,                0.97658,                 0.8506,                0.55901,                0.33205,                0.92472,               0.007293,               0.007293,               0.007293
                     73,                0.62403,                0.40192,                0.96673,                0.95693,                0.95009,                0.98368,                0.86306,                0.55249,                 0.3205,                0.91408,              0.0072543,              0.0072543,              0.0072543
                     74,                0.62184,                 0.3991,                0.96229,                 0.9619,                0.93891,                0.98006,                 0.8572,                0.55513,                0.32319,                 0.9189,              0.0072156,              0.0072156,              0.0072156
                     75,                0.61911,                0.39127,                0.96092,                0.97275,                0.93708,                0.98231,                0.86157,                0.54462,                0.31857,                0.91091,               0.007177,               0.007177,               0.007177
                     76,                0.61642,                0.39391,                0.96297,                0.96949,                0.93159,                0.98055,                0.86221,                0.53238,                0.32477,                 0.9094,              0.0071383,              0.0071383,              0.0071383
                     77,                0.62388,                0.39771,                0.96508,                0.97021,                0.92486,                0.97916,                0.86029,                0.54263,                0.32697,                0.91522,              0.0070996,              0.0070996,              0.0070996
                     78,                 0.6144,                 0.3936,                0.96055,                0.95903,                0.92953,                0.98015,                0.86138,                0.54547,                0.33025,                0.91546,              0.0070609,              0.0070609,              0.0070609
                     79,                 0.6163,                0.39457,                0.95482,                0.96323,                0.94685,                0.98214,                0.86033,                0.53921,                0.31829,                0.91078,              0.0070223,              0.0070223,              0.0070223
                     80,                0.62342,                 0.3926,                 0.9627,                0.95869,                0.94979,                0.98556,                 0.8639,                0.54073,                0.31791,                0.91247,              0.0069836,              0.0069836,              0.0069836
                     81,                0.60936,                0.38594,                0.95583,                0.96673,                0.94064,                0.98233,                0.86196,                0.54471,                0.32114,                0.91904,              0.0069449,              0.0069449,              0.0069449
                     82,                0.61004,                0.38985,                0.96181,                0.96598,                0.93653,                 0.9792,                0.85822,                0.55088,                0.32326,                0.91973,              0.0069063,              0.0069063,              0.0069063
                     83,                0.60919,                 0.3837,                0.95691,                0.96017,                0.93647,                0.97906,                0.85626,                0.55126,                 0.3341,                0.91958,              0.0068676,              0.0068676,              0.0068676
                     84,                0.61819,                0.38266,                0.96162,                0.96347,                0.93525,                 0.9811,                0.86204,                0.54221,                0.31942,                0.91352,              0.0068289,              0.0068289,              0.0068289
                     85,                0.61413,                0.38821,                0.95943,                0.96117,                0.93746,                0.98149,                0.86333,                0.55282,                0.32224,                0.91999,              0.0067902,              0.0067902,              0.0067902
                     86,                0.61198,                0.38712,                0.96012,                0.96682,                0.93403,                0.97896,                0.86167,                0.55032,                0.32272,                0.91994,              0.0067516,              0.0067516,              0.0067516
                     87,                0.60331,                0.38692,                0.95169,                0.95959,                0.93586,                0.97901,                0.86293,                0.53933,                0.31242,                0.91084,              0.0067129,              0.0067129,              0.0067129
                     88,                0.60724,                0.38153,                0.95701,                0.94868,                0.93708,                0.97542,                0.86094,                0.53983,                0.33032,                 0.9069,              0.0066742,              0.0066742,              0.0066742
                     89,                 0.5988,                0.38121,                0.94814,                0.95847,                0.93053,                0.97762,                0.85954,                0.54424,                0.32831,                0.91547,              0.0066355,              0.0066355,              0.0066355
                     90,                0.60818,                0.38627,                0.95697,                0.97178,                0.92242,                0.97875,                0.86522,                0.53244,                0.32348,                0.91106,              0.0065969,              0.0065969,              0.0065969
                     91,                0.59759,                0.37627,                 0.9519,                0.96271,                0.93049,                0.97696,                0.86072,                0.54024,                0.32468,                0.91741,              0.0065582,              0.0065582,              0.0065582
                     92,                0.60744,                 0.3817,                0.95713,                0.96783,                0.93735,                0.98164,                0.86027,                0.54032,                 0.3136,                0.91214,              0.0065195,              0.0065195,              0.0065195
                     93,                0.60408,                0.37999,                0.95452,                0.97528,                0.93985,                0.98315,                0.86588,                0.53713,                0.30564,                 0.9113,              0.0064809,              0.0064809,              0.0064809
                     94,                0.59793,                0.37854,                0.95052,                 0.9709,                0.93464,                0.98098,                0.87383,                0.52086,                0.30969,                  0.903,              0.0064422,              0.0064422,              0.0064422
                     95,                0.60337,                0.37689,                0.95188,                 0.9643,                0.93769,                0.97842,                0.86274,                0.54665,                0.31242,                0.91356,              0.0064035,              0.0064035,              0.0064035
                     96,                0.59969,                0.37284,                0.95313,                0.94952,                 0.9493,                0.97884,                0.86946,                   0.53,                0.31615,                0.90573,              0.0063648,              0.0063648,              0.0063648
                     97,                0.59635,                0.37741,                0.95322,                 0.9734,                0.92792,                0.98163,                0.86381,                0.52761,                0.30831,                0.90686,              0.0063262,              0.0063262,              0.0063262
                     98,                0.59713,                0.37584,                0.95339,                0.97009,                0.93109,                0.98177,                0.86841,                 0.5338,                0.30843,                0.91026,              0.0062875,              0.0062875,              0.0062875
                     99,                 0.5988,                0.37717,                0.95626,                 0.9626,                0.94325,                0.98184,                0.86746,                0.53083,                 0.3104,                 0.9062,              0.0062488,              0.0062488,              0.0062488
                    100,                0.59566,                0.37369,                0.95148,                0.95598,                0.94193,                0.98125,                 0.8705,                0.52615,                0.30965,                 0.9062,              0.0062102,              0.0062102,              0.0062102
                    101,                0.59339,                 0.3726,                0.95361,                0.97758,                0.92853,                0.98367,                0.87264,                 0.5194,                0.30353,                0.90034,              0.0061715,              0.0061715,              0.0061715
                    102,                0.59492,                 0.3723,                0.95221,                0.97606,                 0.9267,                0.98177,                0.87214,                0.51956,                0.30918,                0.89686,              0.0061328,              0.0061328,              0.0061328
                    103,                0.58866,                0.37162,                0.94623,                0.97537,                0.92853,                0.98101,                0.87336,                0.52911,                0.30452,                0.90781,              0.0060941,              0.0060941,              0.0060941
                    104,                0.58946,                0.36514,                0.95532,                0.96917,                0.93403,                0.98142,                0.87079,                0.52869,                0.29966,                0.90903,              0.0060555,              0.0060555,              0.0060555
                    105,                0.58825,                0.36689,                 0.9506,                0.96941,                0.94136,                0.98371,                0.87586,                0.52448,                0.29745,                  0.903,              0.0060168,              0.0060168,              0.0060168
                    106,                0.58799,                0.36795,                0.95013,                0.96862,                0.94272,                0.98378,                0.87109,                0.52195,                0.29222,                 0.9017,              0.0059781,              0.0059781,              0.0059781
                    107,                0.57999,                0.36205,                0.94682,                0.97005,                0.93525,                  0.981,                0.86992,                0.52185,                0.30348,                0.90314,              0.0059395,              0.0059395,              0.0059395
                    108,                 0.5839,                0.36493,                0.94891,                0.96146,                0.94496,                0.98152,                0.87073,                0.52488,                0.29809,                0.89969,              0.0059008,              0.0059008,              0.0059008
                    109,                0.58494,                0.36592,                0.95182,                0.96452,                0.94651,                0.98208,                 0.8731,                0.52187,                0.29753,                0.89775,              0.0058621,              0.0058621,              0.0058621
                    110,                0.58129,                0.36556,                0.94726,                0.96163,                0.94258,                0.98294,                0.87137,                0.52272,                0.30103,                0.90168,              0.0058234,              0.0058234,              0.0058234
                    111,                0.57698,                0.36162,                0.94644,                0.96318,                0.93647,                  0.979,                0.87053,                0.52511,                0.30309,                0.90824,              0.0057848,              0.0057848,              0.0057848
                    112,                0.58722,                0.36365,                0.94347,                0.95558,                0.94624,                0.97971,                0.86837,                0.52642,                0.29994,                0.90164,              0.0057461,              0.0057461,              0.0057461
                    113,                0.58644,                 0.3617,                 0.9495,                0.97209,                0.92914,                0.98224,                0.87207,                0.51636,                0.29924,                0.89642,              0.0057074,              0.0057074,              0.0057074
                    114,                0.58365,                0.35847,                0.94425,                0.95844,                0.94386,                0.98267,                0.87765,                0.51402,                0.29438,                0.89484,              0.0056688,              0.0056688,              0.0056688
                    115,                0.58389,                0.36013,                0.94552,                0.96729,                0.94075,                0.98182,                0.87561,                0.51553,                0.29357,                0.89576,              0.0056301,              0.0056301,              0.0056301
                    116,                0.57526,                0.35723,                0.93865,                0.97265,                0.94197,                0.98413,                0.87612,                0.51826,                0.29483,                0.89666,              0.0055914,              0.0055914,              0.0055914
                    117,                0.58048,                0.35895,                0.94775,                 0.9721,                 0.9365,                 0.9836,                0.87846,                0.51024,                0.29204,                0.89562,              0.0055527,              0.0055527,              0.0055527
                    118,                0.57841,                0.35326,                0.94347,                0.97272,                0.93668,                0.98187,                0.87322,                0.51622,                0.29442,                0.89952,              0.0055141,              0.0055141,              0.0055141
                    119,                0.57618,                0.35744,                0.94385,                0.97022,                0.93535,                0.98267,                 0.8744,                0.51313,                0.29132,                0.89805,              0.0054754,              0.0054754,              0.0054754
                    120,                0.57258,                0.35302,                  0.943,                 0.9656,                0.94307,                0.98211,                0.87691,                0.51225,                0.29434,                 0.8993,              0.0054367,              0.0054367,              0.0054367
                    121,                0.56882,                0.34956,                0.93628,                 0.9714,                0.93359,                0.98208,                0.87882,                0.51404,                0.28605,                0.89976,               0.005398,               0.005398,               0.005398
                    122,                0.57221,                0.35147,                0.94224,                0.96789,                0.93912,                0.98262,                0.87501,                 0.5116,                0.28623,                0.90011,              0.0053594,              0.0053594,              0.0053594
                    123,                0.56861,                0.35371,                0.94434,                0.96975,                0.93996,                0.98258,                0.87901,                0.51145,                0.28816,                0.89632,              0.0053207,              0.0053207,              0.0053207
                    124,                0.57915,                0.35667,                0.94507,                0.97243,                0.93464,                0.98066,                0.87538,                0.51317,                0.28945,                0.89887,               0.005282,               0.005282,               0.005282
                    125,                0.57013,                0.35053,                0.94416,                0.97228,                0.93586,                0.98039,                 0.8766,                0.51589,                0.28932,                 0.9012,              0.0052434,              0.0052434,              0.0052434
                    126,                0.56737,                0.34739,                0.93614,                0.97223,                0.94115,                0.98196,                0.87322,                0.52595,                0.28971,                0.90665,              0.0052047,              0.0052047,              0.0052047
                    127,                0.56835,                0.35453,                0.93575,                 0.9716,                0.93708,                0.98047,                0.87433,                0.51576,                0.29313,                0.89989,               0.005166,               0.005166,               0.005166
                    128,                0.57125,                0.35557,                0.93798,                0.97404,                0.93985,                0.98254,                0.87597,                0.51406,                0.28879,                0.89961,              0.0051273,              0.0051273,              0.0051273
                    129,                 0.5655,                0.35118,                0.94098,                0.97046,                0.93891,                0.98113,                0.87371,                0.51559,                0.29311,                0.89998,              0.0050887,              0.0050887,              0.0050887
                    130,                0.56077,                0.34902,                0.93397,                0.96364,                0.94746,                0.98243,                0.87446,                0.51204,                0.28707,                 0.8985,                0.00505,                0.00505,                0.00505
                    131,                0.56133,                0.34699,                0.93403,                0.96968,                0.94013,                0.98194,                0.87643,                0.51273,                0.28602,                0.89937,              0.0050113,              0.0050113,              0.0050113
                    132,                0.56136,                0.34588,                0.93679,                0.96142,                0.94563,                0.98274,                0.87507,                0.51239,                0.28731,                0.89663,              0.0049727,              0.0049727,              0.0049727
                    133,                0.55905,                0.34426,                0.93651,                 0.9626,                0.94345,                0.98269,                0.87476,                0.51493,                0.28712,                0.89863,               0.004934,               0.004934,               0.004934
                    134,                0.56091,                0.34112,                0.93344,                 0.9692,                0.94186,                0.98491,                0.87648,                0.51579,                0.28592,                0.89875,              0.0048953,              0.0048953,              0.0048953
                    135,                0.55858,                0.34667,                0.93369,                0.96738,                0.94441,                0.98437,                0.87597,                0.51457,                0.28631,                0.89737,              0.0048566,              0.0048566,              0.0048566
                    136,                0.56111,                0.34516,                0.93539,                0.96749,                 0.9453,                0.98329,                 0.8737,                 0.5195,                0.28876,                0.90191,               0.004818,               0.004818,               0.004818
                    137,                 0.5569,                 0.3392,                0.93653,                0.97522,                0.94197,                0.98257,                0.87362,                0.51766,                0.28558,                0.90311,              0.0047793,              0.0047793,              0.0047793
                    138,                0.55841,                0.34217,                0.93779,                0.96744,                0.94258,                0.98312,                0.87385,                0.51943,                0.28527,                0.90276,              0.0047406,              0.0047406,              0.0047406
                    139,                 0.5569,                0.34414,                0.93496,                0.96946,                0.94197,                0.98181,                0.87653,                0.51338,                0.29223,                0.90048,               0.004702,               0.004702,               0.004702
                    140,                0.55422,                0.34042,                0.93926,                0.96634,                0.94319,                0.98299,                0.87509,                0.51254,                0.28928,                0.90093,              0.0046633,              0.0046633,              0.0046633
                    141,                0.55716,                0.33754,                0.93418,                0.97087,                0.94197,                0.98273,                0.87798,                0.51218,                0.28539,                0.89812,              0.0046246,              0.0046246,              0.0046246
                    142,                0.55461,                0.33844,                0.93388,                0.97162,                0.93708,                0.98258,                 0.8776,                0.51702,                0.28562,                0.90081,              0.0045859,              0.0045859,              0.0045859
                    143,                0.55831,                0.34191,                0.93262,                0.97257,                0.93586,                0.98292,                0.87867,                0.51196,                0.28311,                0.89782,              0.0045473,              0.0045473,              0.0045473
                    144,                0.55635,                0.34196,                0.93877,                0.97582,                0.93699,                0.98243,                0.87808,                0.51469,                0.28527,                0.90009,              0.0045086,              0.0045086,              0.0045086
                    145,                0.55399,                0.33764,                0.93547,                0.96858,                0.94153,                0.98197,                0.87704,                0.51524,                0.28905,                0.90054,              0.0044699,              0.0044699,              0.0044699
                    146,                0.55019,                0.33664,                0.93337,                0.97374,                0.93403,                0.98113,                0.87653,                0.51869,                 0.2902,                0.90502,              0.0044313,              0.0044313,              0.0044313
                    147,                0.55845,                0.34252,                0.93745,                0.96516,                0.93952,                0.98214,                0.87832,                  0.511,                0.28769,                0.90132,              0.0043926,              0.0043926,              0.0043926
