                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.66045,                0.43138,                0.98561,                0.97095,                0.91936,                0.97823,                0.85293,                0.55494,                0.34885,                0.92325,              0.0089559,              0.0089559,              0.0089559
                     57,                0.65912,                0.42655,                0.98086,                0.96175,                0.91936,                0.97617,                0.84729,                0.55947,                0.36127,                0.92048,              0.0089365,              0.0089365,              0.0089365
                     58,                0.65653,                0.43144,                0.98313,                0.96639,                0.93464,                0.97745,                 0.8518,                0.57736,                0.34781,                0.92531,              0.0089172,              0.0089172,              0.0089172
                     59,                0.65854,                0.42913,                0.97988,                0.96682,                0.93708,                0.97718,                0.84041,                0.57953,                 0.3533,                0.93498,              0.0088979,              0.0088979,              0.0088979
                     60,                0.65132,                0.42263,                0.98062,                0.95894,                0.93341,                0.97711,                0.84206,                0.56932,                0.34951,                0.92484,              0.0088785,              0.0088785,              0.0088785
                     61,                0.65118,                0.42306,                0.97613,                0.95743,                0.93414,                0.97548,                0.84659,                0.57167,                 0.3583,                0.93077,              0.0088592,              0.0088592,              0.0088592
                     62,                0.65033,                0.41938,                0.97568,                0.95676,                0.93259,                0.97576,                0.84332,                0.56818,                0.34934,                0.92924,              0.0088398,              0.0088398,              0.0088398
                     63,                0.64186,                0.41731,                0.97537,                0.95749,                0.93564,                0.97433,                0.84683,                0.56896,                0.35107,                0.93202,              0.0088205,              0.0088205,              0.0088205
                     64,                0.65015,                0.41747,                 0.9768,                0.96799,                0.92355,                0.97555,                0.85482,                0.56111,                0.34217,                0.92093,              0.0088012,              0.0088012,              0.0088012
                     65,                0.64777,                0.42181,                0.97902,                0.97118,                0.93219,                0.97976,                0.85539,                0.54829,                0.34102,                0.90873,              0.0087818,              0.0087818,              0.0087818
                     66,                0.64225,                0.41724,                0.97447,                 0.9676,                 0.9383,                0.98099,                0.85457,                0.54925,                0.33823,                0.91712,              0.0087625,              0.0087625,              0.0087625
                     67,                0.64289,                0.40804,                0.97499,                0.96237,                0.93732,                0.98283,                0.85158,                0.56434,                0.33598,                0.92169,              0.0087432,              0.0087432,              0.0087432
                     68,                0.64013,                 0.4131,                0.96917,                0.95793,                0.93341,                0.97894,                0.85082,                0.55514,                0.34266,                0.92146,              0.0087238,              0.0087238,              0.0087238
                     69,                0.64129,                0.40698,                0.97592,                0.96715,                0.93514,                0.98079,                0.84611,                0.55728,                 0.3285,                0.92413,              0.0087045,              0.0087045,              0.0087045
                     70,                0.64416,                0.41823,                0.97568,                0.96245,                0.93955,                0.97999,                 0.8513,                0.56828,                0.33699,                0.93181,              0.0086852,              0.0086852,              0.0086852
                     71,                0.63961,                0.41416,                0.97255,                0.97335,                0.93036,                0.98117,                0.86076,                0.54519,                0.32778,                0.91685,              0.0086658,              0.0086658,              0.0086658
                     72,                0.63905,                0.41175,                0.97713,                0.97021,                0.93517,                0.97715,                0.84892,                0.55057,                0.33614,                 0.9192,              0.0086465,              0.0086465,              0.0086465
                     73,                0.63478,                0.40997,                0.96906,                0.96541,                 0.9377,                0.97827,                 0.8542,                0.55557,                0.34131,                0.91343,              0.0086271,              0.0086271,              0.0086271
                     74,                0.63062,                0.40934,                0.96712,                0.96235,                0.93673,                0.97729,                0.85635,                0.55431,                0.33701,                0.91495,              0.0086078,              0.0086078,              0.0086078
                     75,                0.63104,                0.40495,                0.96923,                0.96595,                0.93571,                0.97846,                 0.8567,                0.54747,                0.32672,                0.91954,              0.0085885,              0.0085885,              0.0085885
                     76,                0.62871,                0.40134,                0.96926,                0.96952,                0.93254,                0.97741,                0.85876,                0.53636,                0.32372,                0.90919,              0.0085691,              0.0085691,              0.0085691
                     77,                0.63561,                0.40924,                0.97005,                0.96555,                0.93891,                0.97966,                0.85723,                0.53917,                0.32227,                0.91046,              0.0085498,              0.0085498,              0.0085498
                     78,                0.62993,                 0.4046,                0.96938,                0.95621,                0.94717,                 0.9812,                0.85913,                0.54436,                0.31642,                0.91429,              0.0085305,              0.0085305,              0.0085305
                     79,                0.62754,                0.40363,                0.96354,                0.96864,                0.94075,                0.97917,                0.85897,                 0.5489,                 0.3168,                0.91416,              0.0085111,              0.0085111,              0.0085111
